"loan_account_id","registration_date","registration_time","loan_default"
"LA3333000573","20231030","131011","Yes"
"LA3333000580","20231028","153549","Yes"
"LA3333000584","20231029","142728","Yes"
"LA3333000585","20231025","152512","Yes"
"LA3333000587","20231201","115520","Yes"
"LA3333000593","20231024","132149","Yes"
"LA3333000600","20231104","152512","Yes"
"LA3333000610","20231102","153549","Yes"
"LA3333000616","20231030","103050","Yes"
"LA3333000625","20231106","153549","Yes"
"LA3333000629","20231104","142728","Yes"
"LA3333000630","20231111","152512","Yes"
"LA3333000631","20231106","103050","Yes"
"LA3333000633","20231102","131011","Yes"
"LA3333000637","20231219","114513","Yes"
"LA3333000644","20231112","142728","Yes"
"LA3333000645","20231114","152512","Yes"
"LA3333000646","20231106","103050","Yes"
"LA3333000647","20231111","115520","Yes"
"LA3333000649","20231113","140555","Yes"
"LA3333000652","20231109","114513","Yes"
"LA3333000656","20231216","095512","Yes"
"LA3333000660","20231108","152512","Yes"
"LA3333000663","20231109","131011","Yes"
"LA3333000667","20231113","114513","Yes"
"LA3333000668","20231110","132149","Yes"
"LA3333000672","20231228","111550","Yes"
"LA3333000675","20231116","152512","Yes"
"LA3333000682","20231227","114513","Yes"
"LA3333000693","20231119","131011","Yes"
"LA3333000697","20231121","114513","Yes"
"LA3333000712","20231124","114513","Yes"
"LA3333000715","20231119","153549","Yes"
"LA3333000717","20240102","111550","Yes"
"LA3333000719","20231205","142728","Yes"
"LA3333000727","20231218","114513","Yes"
"LA3333000738","20231202","131011","Yes"
"LA3333000741","20231123","101052","Yes"
"LA3333000742","20231202","114513","Yes"
"LA3333000747","20231128","111550","Yes"
"LA3333000756","20231229","101052","Yes"
"LA3333000764","20231204","142728","Yes"
"LA3333000765","20240109","152512","Yes"
"LA3333000767","20231201","115520","Yes"
"LA3333000771","20240114","101052","Yes"
"LA3333000791","20240102","095512","Yes"
"LA3333000796","20231210","103050","Yes"
"LA3333000801","20231209","101052","Yes"
"LA3333000810","20240114","152512","Yes"
"LA3333000815","20231213","154707","Yes"
"LA3333000816","20240102","101052","Yes"
"LA3333000817","20240101","114513","Yes"
"LA3333000822","20231215","111550","Yes"
"LA3333000823","20231207","131421","Yes"
"LA3333000824","20231214","142728","Yes"
"LA3333000829","20231231","140555","Yes"
"LA3333000834","20231215","143428","Yes"
"LA3333000840","20231210","152512","Yes"
"LA3333000841","20240105","103050","Yes"
"LA3333000847","20240120","114513","Yes"
"LA3333000850","20231214","153549","Yes"
"LA3333000854","20231222","142728","Yes"
"LA3333000863","20231222","132149","Yes"
"LA3333000866","20240123","095512","Yes"
"LA3333000868","20231221","131421","Yes"
"LA3333000870","20240111","152512","Yes"
"LA3333000876","20240107","101052","Yes"
"LA3333000877","20231216","114513","Yes"
"LA3333000901","20240105","111550","Yes"
"LA3333000913","20240101","143428","Yes"
"LA3333000915","20240105","095512","Yes"
"LA3333000916","20231224","111550","Yes"
"LA3333000932","20231229","142728","Yes"
"LA3333000936","20240218","131011","Yes"
"LA3333000938","20240121","154707","Yes"
"LA3333000939","20240104","101052","Yes"
"LA3333000943","20231231","153549","Yes"
"LA3333000945","20240105","111550","Yes"
"LA3333000947","20240101","142728","Yes"
"LA3333000954","20240103","101052","Yes"
"LA3333000955","20240110","114513","Yes"
"LA3333000958","20240108","153549","Yes"
"LA3333000981","20240112","131011","Yes"
"LA3333000983","20240130","115520","Yes"
"LA3333000989","20240219","132149","Yes"
"LA3333000992","20240111","095512","Yes"
"LA3333000997","20240113","103050","Yes"
"LA3333001003","20240111","114513","Yes"
"LA3333001004","20240127","132149","Yes"
"LA3333001006","20240213","153549","Yes"
"LA3333001008","20240113","111550","Yes"
"LA3333001009","20240129","131421","Yes"
"LA3333001011","20240112","152512","Yes"
"LA3333001014","20240117","131011","Yes"
"LA3333001023","20240118","111550","Yes"
"LA3333001025","20240123","142728","Yes"
"LA3333001026","20240301","152512","Yes"
"LA3333001027","20240117","103050","Yes"
"LA3333001029","20240123","131011","Yes"
"LA3333001032","20240123","101052","Yes"
"LA3333001037","20240120","095512","Yes"
"LA3333001042","20240124","103050","Yes"
"LA3333001054","20240308","131421","Yes"
"LA3333001057","20240224","103050","Yes"
"LA3333001061","20240129","154707","Yes"
"LA3333001066","20240307","153549","Yes"
"LA3333001069","20240126","131421","Yes"
"LA3333001074","20240131","131011","Yes"
"LA3333001077","20240201","101052","Yes"
"LA3333001080","20240201","143428","Yes"
"LA3333001084","20240206","131421","Yes"
"LA3333001088","20240126","115520","Yes"
"LA3333001089","20240127","131011","Yes"
"LA3333001091","20240203","154707","Yes"
"LA3333001098","20240204","111550","Yes"
"LA3333001103","20240216","115520","Yes"
"LA3333001105","20240207","140555","Yes"
"LA3333001106","20240224","154707","Yes"
"LA3333001107","20240309","101052","Yes"
"LA3333001108","20240202","114513","Yes"
"LA3333001112","20240208","095512","Yes"
"LA3333001115","20240205","142728","Yes"
"LA3333001127","20240308","095512","Yes"
"LA3333001134","20240203","131011","Yes"
"LA3333001137","20240211","101052","Yes"
"LA3333001146","20250214","152512","Yes"
"LA3333001151","20240311","154707","Yes"
"LA3333001154","20240208","132149","Yes"
"LA3333001156","20240221","153549","Yes"
"LA3333001161","20240318","152512","Yes"
"LA3333001163","20240211","115520","Yes"
"LA3333001169","20240211","132149","Yes"
"LA3333001180","20240213","140555","Yes"
"LA3333001181","20240330","154707","Yes"
"LA3333001190","20240223","142728","Yes"
"LA3333001194","20240228","131011","Yes"
"LA3333001195","20240222","140555","Yes"
"LA3333001198","20240216","114513","Yes"
"LA3333001210","20240329","140555","Yes"
"LA3333001211","20240220","154707","Yes"
"LA3333001214","20240410","132149","Yes"
"LA3333001215","20240227","143428","Yes"
"LA3333001216","20240406","153549","Yes"
"LA3333001217","20240225","095512","Yes"
"LA3333001229","20240409","132149","Yes"
"LA3333001232","20240228","095512","Yes"
"LA3333001234","20240314","131421","Yes"
"LA3333001235","20240317","142728","Yes"
"LA3333001240","20240302","140555","Yes"
"LA3333001249","20240324","131421","Yes"
"LA3333001250","20240229","142728","Yes"
"LA3333001251","20240411","152512","Yes"
"LA3333001258","20240229","114513","Yes"
"LA3333001260","20240403","143428","Yes"
"LA3333001265","20240312","142728","Yes"
"LA3333001271","20240307","154707","Yes"
"LA3333001272","20240305","101052","Yes"
"LA3333001276","20240305","153549","Yes"
"LA3333001277","20240420","095512","Yes"
"LA3333001278","20240310","111550","Yes"
"LA3333001280","20240401","142728","Yes"
"LA3333001282","20240307","103050","Yes"
"LA3333001283","20240417","115520","Yes"
"LA3333001284","20240302","131011","Yes"
"LA3333001286","20240326","154707","Yes"
"LA3333001289","20240303","132149","Yes"
"LA3333001295","20240416","142728","Yes"
"LA3333001297","20240311","103050","Yes"
"LA3333001298","20240320","115520","Yes"
"LA3333001299","20240404","131011","Yes"
"LA3333001302","20240415","101052","Yes"
"LA3333001305","20240422","143428","Yes"
"LA3333001310","20240426","142728","Yes"
"LA3333001313","20240424","115520","Yes"
"LA3333001321","20240330","153549","Yes"
"LA3333001323","20240314","111550","Yes"
"LA3333001324","20240313","131421","Yes"
"LA3333001330","20240314","140555","Yes"
"LA3333001333","20240405","114513","Yes"
"LA3333001336","20240402","153549","Yes"
"LA3333001344","20240320","131011","Yes"
"LA3333001345","20240410","140555","Yes"
"LA3333001358","20240318","115520","Yes"
"LA3333001359","20240426","131011","Yes"
"LA3333001362","20240320","101052","Yes"
"LA3333001369","20240510","131421","Yes"
"LA3333001373","20240322","115520","Yes"
"LA3333001376","20240323","154707","Yes"
"LA3333001384","20240327","131421","Yes"
"LA3333001385","20240426","142728","Yes"
"LA3333001389","20240323","131011","Yes"
"LA3333001391","20240328","154707","Yes"
"LA3333001392","20240426","101052","Yes"
"LA3333001393","20240329","114513","Yes"
"LA3333001396","20240328","153549","Yes"
"LA3333001398","20240404","111550","Yes"
"LA3333001402","20240415","103050","Yes"
"LA3333001410","20240403","143428","Yes"
"LA3333001421","20240411","154707","Yes"
"LA3333001425","20240406","143428","Yes"
"LA3333001431","20240407","152512","Yes"
"LA3333001432","20240427","103050","Yes"
"LA3333001434","20240521","131011","Yes"
"LA3333001437","20240409","101052","Yes"
"LA3333001440","20240429","143428","Yes"
"LA3333001443","20240519","111550","Yes"
"LA3333001446","20240409","152512","Yes"
"LA3333001449","20240523","131011","Yes"
"LA3333001452","20240418","101052","Yes"
"LA3333001453","20240405","114513","Yes"
"LA3333001460","20240406","142728","Yes"
"LA3333001461","20240520","152512","Yes"
"LA3333001463","20240507","115520","Yes"
"LA3333001464","20240413","131011","Yes"
"LA3333001465","20240406","140555","Yes"
"LA3333001477","20240502","103050","Yes"
"LA3333001488","20240412","111550","Yes"
"LA3333001499","20240602","132149","Yes"
"LA3333001501","20240419","153549","Yes"
"LA3333001502","20240418","095512","Yes"
"LA3333001506","20240414","152512","Yes"
"LA3333001508","20240416","115520","Yes"
"LA3333001512","20240414","101052","Yes"
"LA3333001523","20240421","115520","Yes"
"LA3333001525","20240423","140555","Yes"
"LA3333001526","20240416","154707","Yes"
"LA3333001535","20240419","142728","Yes"
"LA3333001540","20240501","140555","Yes"
"LA3333001542","20240531","101052","Yes"
"LA3333001547","20240427","095512","Yes"
"LA3333001549","20240608","131421","Yes"
"LA3333001551","20240423","152512","Yes"
"LA3333001554","20240426","131011","Yes"
"LA3333001561","20240426","153549","Yes"
"LA3333001565","20240501","142728","Yes"
"LA3333001566","20240518","152512","Yes"
"LA3333001568","20240430","115520","Yes"
"LA3333001574","20240428","132149","Yes"
"LA3333001581","20240603","152512","Yes"
"LA3333001587","20240514","101052","Yes"
"LA3333001591","20240506","153549","Yes"
"LA3333001597","20240521","103050","Yes"
"LA3333001606","20240526","153549","Yes"
"LA3333001610","20240503","142728","Yes"
"LA3333001611","20240615","152512","Yes"
"LA3333001612","20240505","103050","Yes"
"LA3333001614","20240616","131011","Yes"
"LA3333001618","20240505","114513","Yes"
"LA3333001625","20240512","142728","Yes"
"LA3333001626","20240511","152512","Yes"
"LA3333001627","20240506","103050","Yes"
"LA3333001628","20240513","115520","Yes"
"LA3333001630","20240521","140555","Yes"
"LA3333001633","20240512","114513","Yes"
"LA3333001637","20240622","095512","Yes"
"LA3333001639","20240508","131421","Yes"
